MonoNS,EstNS,MonoS,EstS,SensorID,Src,East_Vel(m_s),North_Vel(m_s),Up_Vel(m_s)
2210935981954,2210885981954,2210.935981954,2210.885981954,DVL_H1000,BI,0.016,0.017,0.005
2211914923918,2211864923918,2211.914923918,2211.864923918,DVL_H1000,BI,0.013,-0.016,0.0
2259584448559,2259534448559,2259.584448559,2259.534448559,DVL_H1000,BI,0.022,0.064,0.007
2260583583025,2260533583025,2260.583583025,2260.533583025,DVL_H1000,BI,-0.048,-0.015,0.0
2261583245401,2261533245401,2261.583245401,2261.533245401,DVL_H1000,BI,-0.037,0.001,0.0
2262559453691,2262509453691,2262.559453691,2262.509453691,DVL_H1000,BI,-0.028,0.001,0.003
2263559443314,2263509443314,2263.559443314,2263.509443314,DVL_H1000,BI,-0.014,0.004,0.004
2264563888673,2264513888673,2264.563888673,2264.513888673,DVL_H1000,BI,-0.013,0.009,0.002
2270518005012,2270468005012,2270.518005012,2270.468005012,DVL_H1000,BI,0.011,0.002,0.0
2275482408103,2275432408103,2275.482408103,2275.432408103,DVL_H1000,BI,0.068,0.001,0.002
2276465397851,2276415397851,2276.465397851,2276.415397851,DVL_H1000,BI,0.132,0.018,-0.005
2277466693541,2277416693541,2277.466693541,2277.416693541,DVL_H1000,BI,0.152,0.0,0.0
2278465412387,2278415412387,2278.465412387,2278.415412387,DVL_H1000,BI,0.169,0.004,0.0
2279448040765,2279398040765,2279.448040765,2279.398040765,DVL_H1000,BI,0.172,0.009,0.0
2280443014949,2280393014949,2280.443014949,2280.393014949,DVL_H1000,BI,0.183,0.006,0.005
2281447151145,2281397151145,2281.447151145,2281.397151145,DVL_H1000,BI,0.187,0.007,0.0
2282425808530,2282375808530,2282.42580853,2282.37580853,DVL_H1000,BI,0.196,0.013,0.0
2283427794128,2283377794128,2283.427794128,2283.377794128,DVL_H1000,BI,0.193,0.009,0.006
2284427950956,2284377950956,2284.427950956,2284.377950956,DVL_H1000,BI,0.105,0.016,0.0
2286402287141,2286352287141,2286.402287141,2286.352287141,DVL_H1000,BI,0.054,0.005,0.002
2287405664722,2287355664722,2287.405664722,2287.355664722,DVL_H1000,BI,0.037,0.004,0.0
2288387462152,2288337462152,2288.387462152,2288.337462152,DVL_H1000,BI,0.032,0.006,0.005
2289382838831,2289332838831,2289.382838831,2289.332838831,DVL_H1000,BI,0.022,0.005,0.0
2315205951685,2315155951685,2315.205951685,2315.155951685,DVL_H1000,BI,-0.01,0.024,0.005
2318187901315,2318137901315,2318.187901315,2318.137901315,DVL_H1000,BI,-0.007,-0.016,0.004
2319183597657,2319133597657,2319.183597657,2319.133597657,DVL_H1000,BI,-0.015,0.0,0.0
2320168013346,2320118013346,2320.168013346,2320.118013346,DVL_H1000,BI,-0.016,0.0,0.0
2335063730004,2335013730004,2335.063730004,2335.013730004,DVL_H1000,BI,0.079,0.008,0.0
2336063183549,2336013183549,2336.063183549,2336.013183549,DVL_H1000,BI,0.129,0.015,0.004
2337062543471,2337012543471,2337.062543471,2337.012543471,DVL_H1000,BI,0.159,0.018,0.006
2338045227265,2337995227265,2338.045227265,2337.995227265,DVL_H1000,BI,0.181,0.0,0.0
2339045915129,2338995915129,2339.045915129,2338.995915129,DVL_H1000,BI,0.183,0.0,0.009
2340043892276,2339993892276,2340.043892276,2339.993892276,DVL_H1000,BI,0.199,0.003,0.0
2341021976834,2340971976834,2341.021976834,2340.971976834,DVL_H1000,BI,0.21,0.008,0.008
2342024786630,2341974786630,2342.02478663,2341.97478663,DVL_H1000,BI,0.211,0.013,-0.008
2343025163831,2342975163831,2343.025163831,2342.975163831,DVL_H1000,BI,0.205,0.003,0.0
2344006984302,2343956984302,2344.006984302,2343.956984302,DVL_H1000,BI,0.208,0.006,-0.003
2345006274725,2344956274725,2345.006274725,2344.956274725,DVL_H1000,BI,0.214,0.005,0.0
2346005230401,2345955230401,2346.005230401,2345.955230401,DVL_H1000,BI,0.212,0.0,0.002
2346986596753,2346936596753,2346.986596753,2346.936596753,DVL_H1000,BI,0.209,0.0,0.0
2347986729582,2347936729582,2347.986729582,2347.936729582,DVL_H1000,BI,0.228,0.075,0.0
2348986069962,2348936069962,2348.986069962,2348.936069962,DVL_H1000,BI,0.237,0.109,0.003
2349968536842,2349918536842,2349.968536842,2349.918536842,DVL_H1000,BI,0.226,0.124,0.004
2349972544001,2349922544001,2349.972544001,2349.922544001,DVL_H1000,BS,0.226,0.124,0.004
2350966567155,2350916567155,2350.966567155,2350.916567155,DVL_H1000,BI,0.213,0.127,0.0
2350971659592,2350921659592,2350.971659592,2350.921659592,DVL_H1000,BS,0.213,0.127,0.0
2351966850190,2351916850190,2351.96685019,2351.91685019,DVL_H1000,BI,0.154,0.081,0.0
2351973363610,2351923363610,2351.97336361,2351.92336361,DVL_H1000,BE,0.143,0.101,0.002
2352950575638,2352900575638,2352.950575638,2352.900575638,DVL_H1000,BI,0.069,0.009,0.0
2353949696687,2353899696687,2353.949696687,2353.899696687,DVL_H1000,BI,0.036,0.002,0.0
2354948264452,2354898264452,2354.948264452,2354.898264452,DVL_H1000,BI,0.021,0.001,0.0
2355930540501,2355880540501,2355.930540501,2355.880540501,DVL_H1000,BI,0.022,0.003,0.0
2356930197961,2356880197961,2356.930197961,2356.880197961,DVL_H1000,BI,0.02,0.003,0.0
2357929760297,2357879760297,2357.929760297,2357.879760297,DVL_H1000,BI,0.02,0.001,0.0
2358907838522,2358857838522,2358.907838522,2358.857838522,DVL_H1000,BI,0.019,0.0,0.0
2359908168640,2359858168640,2359.90816864,2359.85816864,DVL_H1000,BI,0.021,0.0,0.0
2360910482150,2360860482150,2360.91048215,2360.86048215,DVL_H1000,BI,0.021,0.001,0.0
2361891921209,2361841921209,2361.891921209,2361.841921209,DVL_H1000,BI,0.021,0.001,0.004
2362892155537,2362842155537,2362.892155537,2362.842155537,DVL_H1000,BI,0.023,0.008,0.0
2363892205825,2363842205825,2363.892205825,2363.842205825,DVL_H1000,BI,0.02,0.006,0.0
2364872193902,2364822193902,2364.872193902,2364.822193902,DVL_H1000,BI,0.022,0.006,0.0
2365871010747,2365821010747,2365.871010747,2365.821010747,DVL_H1000,BI,0.023,0.004,0.0
2366871077952,2366821077952,2366.871077952,2366.821077952,DVL_H1000,BI,0.023,0.009,0.0
2367851668771,2367801668771,2367.851668771,2367.801668771,DVL_H1000,BI,0.018,0.005,0.0
2368850587407,2368800587407,2368.850587407,2368.800587407,DVL_H1000,BI,0.021,0.006,0.0
2369850653736,2369800653736,2369.850653736,2369.800653736,DVL_H1000,BI,0.02,0.006,0.0
2370830350025,2370780350025,2370.830350025,2370.780350025,DVL_H1000,BI,0.02,0.003,0.0
2371829489158,2371779489158,2371.829489158,2371.779489158,DVL_H1000,BI,0.021,0.0,0.002
2377788722101,2377738722101,2377.788722101,2377.738722101,DVL_H1000,BI,0.135,0.0,0.005
2378788812389,2378738812389,2378.788812389,2378.738812389,DVL_H1000,BI,0.156,0.005,0.002
2379770928314,2379720928314,2379.770928314,2379.720928314,DVL_H1000,BI,0.165,0.0,0.0
2380770285611,2380720285611,2380.770285611,2380.720285611,DVL_H1000,BI,0.122,0.0,0.004
2387731538735,2387681538735,2387.731538735,2387.681538735,DVL_H1000,BI,0.046,0.007,0.005
2388711450271,2388661450271,2388.711450271,2388.661450271,DVL_H1000,BI,0.05,0.005,0.004
2389710663195,2389660663195,2389.710663195,2389.660663195,DVL_H1000,BI,0.04,0.003,0.006
2390710121407,2390660121407,2390.710121407,2390.660121407,DVL_H1000,BI,0.042,0.007,0.0
2391691533841,2391641533841,2391.691533841,2391.641533841,DVL_H1000,BI,0.017,0.001,0.0
2392695122586,2392645122586,2392.695122586,2392.645122586,DVL_H1000,BI,0.036,0.0,0.0
2393695229749,2393645229749,2393.695229749,2393.645229749,DVL_H1000,BI,0.017,0.008,0.011
2394672289403,2394622289403,2394.672289403,2394.622289403,DVL_H1000,BI,0.03,0.008,0.003
2395671685491,2395621685491,2395.671685491,2395.621685491,DVL_H1000,BI,0.014,0.005,0.006
2396671764904,2396621764904,2396.671764904,2396.621764904,DVL_H1000,BI,0.012,0.027,0.0
2397652839301,2397602839301,2397.652839301,2397.602839301,DVL_H1000,BI,0.018,0.017,0.0
2398652323346,2398602323346,2398.652323346,2398.602323346,DVL_H1000,BI,0.023,0.004,0.004
2399651470770,2399601470770,2399.65147077,2399.60147077,DVL_H1000,BI,0.025,0.008,0.003
2400633586987,2400583586987,2400.633586987,2400.583586987,DVL_H1000,BI,0.02,0.008,0.003
