EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
2188.315849613,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.332980444,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.344503469,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.35474026,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.36475772,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.37586075,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.385937126,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.396052294,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.40626546,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.416490001,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2188.426870581,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.437108247,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.44730683,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.457479163,-0.113,0.061,0.993,0.0,0.0,0.0,0.0,N/A
2188.46763983,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.478017786,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.488558781,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.498694365,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.508904906,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.519163572,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.534595757,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.539653778,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.549982443,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.559913862,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.570231444,-0.113,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.580426819,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.590777941,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.600794526,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.611082067,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.621315941,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.631530274,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.641733523,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.652153478,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.66218698,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.672422896,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.682637812,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.692815978,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.703043728,-0.114,0.061,0.993,0.0,0.0,-0.122,0.0,N/A
2188.719597358,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.740552767,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.750288189,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.760708144,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.770879894,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.781112018,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.791361934,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.801554392,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.811755599,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.821981599,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.832179307,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.842361848,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.852612931,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2188.86280218,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.873068429,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.883300553,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.893516928,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2188.903747302,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.914101925,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.924361757,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.93451834,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2188.944747548,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.954950214,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.965187005,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.975387046,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.985622962,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2188.995853628,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.006063586,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.016467208,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.027136827,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.037137662,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.047422285,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.057656451,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.067854159,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.078067617,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2189.088291866,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
