MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2188317849613,2188315849613,2188.317849613,2188.315849613,-0.113,0.061,0.993,0.0,0.0,-0.122
2188334980444,2188332980444,2188.334980444,2188.332980444,-0.113,0.061,0.993,0.0,0.0,-0.122
2188346503469,2188344503469,2188.346503469,2188.344503469,-0.113,0.061,0.993,0.0,0.0,-0.122
2188356740260,2188354740260,2188.35674026,2188.35474026,-0.113,0.061,0.993,0.0,0.0,-0.122
2188366757720,2188364757720,2188.36675772,2188.36475772,-0.113,0.061,0.993,0.0,0.0,-0.122
2188377860750,2188375860750,2188.37786075,2188.37586075,-0.113,0.061,0.993,0.0,0.0,-0.122
2188387937126,2188385937126,2188.387937126,2188.385937126,-0.113,0.061,0.993,0.0,0.0,-0.122
2188398052294,2188396052294,2188.398052294,2188.396052294,-0.113,0.061,0.993,0.0,0.0,-0.122
2188408265460,2188406265460,2188.40826546,2188.40626546,-0.113,0.061,0.993,0.0,0.0,-0.122
2188418490001,2188416490001,2188.418490001,2188.416490001,-0.113,0.061,0.993,0.0,0.0,0.0
2188428870581,2188426870581,2188.428870581,2188.426870581,-0.113,0.061,0.993,0.0,0.0,-0.122
2188439108247,2188437108247,2188.439108247,2188.437108247,-0.113,0.061,0.993,0.0,0.0,-0.122
2188449306830,2188447306830,2188.44930683,2188.44730683,-0.113,0.061,0.993,0.0,0.0,-0.122
2188459479163,2188457479163,2188.459479163,2188.457479163,-0.113,0.061,0.993,0.0,0.0,0.0
2188469639830,2188467639830,2188.46963983,2188.46763983,-0.113,0.061,0.993,0.0,0.0,-0.122
2188480017786,2188478017786,2188.480017786,2188.478017786,-0.113,0.061,0.993,0.0,0.0,-0.122
2188490558781,2188488558781,2188.490558781,2188.488558781,-0.113,0.061,0.993,0.0,0.0,-0.122
2188500694365,2188498694365,2188.500694365,2188.498694365,-0.113,0.061,0.993,0.0,0.0,-0.122
2188510904906,2188508904906,2188.510904906,2188.508904906,-0.113,0.061,0.993,0.0,0.0,-0.122
2188521163572,2188519163572,2188.521163572,2188.519163572,-0.113,0.061,0.993,0.0,0.0,-0.122
2188536595757,2188534595757,2188.536595757,2188.534595757,-0.113,0.061,0.993,0.0,0.0,-0.122
2188541653778,2188539653778,2188.541653778,2188.539653778,-0.113,0.061,0.993,0.0,0.0,-0.122
2188551982443,2188549982443,2188.551982443,2188.549982443,-0.113,0.061,0.993,0.0,0.0,-0.122
2188561913862,2188559913862,2188.561913862,2188.559913862,-0.113,0.061,0.993,0.0,0.0,-0.122
2188572231444,2188570231444,2188.572231444,2188.570231444,-0.113,0.061,0.993,0.0,0.0,-0.122
2188582426819,2188580426819,2188.582426819,2188.580426819,-0.114,0.061,0.993,0.0,0.0,-0.122
2188592777941,2188590777941,2188.592777941,2188.590777941,-0.114,0.061,0.993,0.0,0.0,-0.122
2188602794526,2188600794526,2188.602794526,2188.600794526,-0.114,0.061,0.993,0.0,0.0,-0.122
2188613082067,2188611082067,2188.613082067,2188.611082067,-0.114,0.061,0.993,0.0,0.0,-0.122
2188623315941,2188621315941,2188.623315941,2188.621315941,-0.114,0.061,0.993,0.0,0.0,-0.122
2188633530274,2188631530274,2188.633530274,2188.631530274,-0.114,0.061,0.993,0.0,0.0,-0.122
2188643733523,2188641733523,2188.643733523,2188.641733523,-0.114,0.061,0.993,0.0,0.0,-0.122
