t_s,E_m,N_m,U_m,vE_mps,vN_mps,vU_mps,yaw_deg,src_used
2210.935981954,0.0,0.0,0.0,0.011672759319111737,0.02082637758663082,9.320137966531247e-05,106.90818073840892,BI
2211.914923918,0.011426953933151879,0.020387814977664336,9.12387416570813e-05,-0.019001961780999558,0.00756033705234475,0.0026012981621442526,106.90829219993074,BI
2259.584448559,-0.8943875314135459,0.3807854883886774,0.12409388558058042,0.057300245116811914,0.02611500872458626,0.025762147209967917,104.29561488575533,BI
2260.583583025,-0.8371368816071046,0.4068778936852959,0.14983373477621892,0.00101467242968903,-0.04235945939569103,-0.02708591219739945,110.36754494085163,BI
2261.583245401,-0.8361225517551797,0.3645327358597117,0.1227569674328314,0.015202970807191976,-0.03018867891741963,-0.015083545467051566,115.19189683549712,BI
2262.559453691,-0.8212812856205753,0.33506229723638736,0.1080322853053082,0.014388347569611406,-0.020628441477059885,-0.012706016545069228,119.73515428633242,BI
2263.559443314,-0.8068930873588446,0.31443406982066163,0.0953264006105708,0.011492537177797494,-0.007399103769808464,-0.006416763406932552,123.80063148826332,BI
2264.563888673,-0.7953494617274723,0.30700207437831906,0.08888111238667717,0.01499227079373278,-0.005144802012664854,-0.0016621758925778143,127.35965587459349,BI
2270.518005012,-0.7060837372357964,0.2763693246537915,0.07898432374638781,-0.005062408203809979,0.008728826548593416,0.004814520771849279,129.590149129369,BI
2275.482408103,-0.7312155721706962,0.31970273815243455,0.10288554554784175,-0.01896953476464155,0.053853463173307255,0.03699947641594806,111.28445485639078,BI
2276.465397851,-0.7498624303686667,0.3726401403460862,0.1392556515460831,-0.021498241708172876,0.09862148637225317,0.0870897699456398,109.71000528346444,BI
2277.466693541,-0.7713885271336386,0.4713894095920177,0.22645826283574433,-0.039566564668728973,0.11602704217898405,0.08986774974100302,108.82997050625968,BI
2278.465412387,-0.8109044009397749,0.587267803261803,0.31621087814969334,-0.03759732221996295,0.12806104988189332,0.1037487776556212,107.84155931494848,BI
2279.448040765,-0.8478485966899146,0.713104224992205,0.41815737125690294,-0.030152658915849225,0.12897266215048853,0.11009936229661095,106.52283703328047,BI
2280.443014949,-0.8778497138901438,0.8414286942737024,0.5277033944169001,-0.028613196872178875,0.13903707632871715,0.11575826696489724,104.73643429227161,BI
2281.447151145,-0.9065812605527788,0.9810408552014123,0.6439404602626096,-0.02278962024284931,0.13619172546239888,0.12629507957462666,102.03789171296434,BI
2282.42580853,-0.9288844907047814,1.1143258931010376,0.7675400725774401,-0.011113854701732089,0.13937810093929548,0.13796821087563735,99.26703855037333,BI
2283.427794128,-0.9400204130541857,1.253980742918854,0.9057822328567072,-0.005692380088507042,0.1393648686934288,0.13383209698346404,96.74900952098753,BI
2284.427950956,-0.945713685867277,1.3933674679259025,1.0396353184602696,0.008624799198105543,0.06942964013113821,0.07991331497349488,94.78635258184033,BI
2286.402287141,-0.9286854327220975,1.5304449187483427,1.1974110678757495,-0.004083974674054073,0.03924849992486436,0.03725421324507615,103.63812781743027,BI
