MonoNS,EstNS,MonoS,EstS,SensorID,Src,Vx_body(m_s),Vy_body(m_s),Vz_body(m_s),Ve_enu(m_s),Vn_enu(m_s),Vu_enu(m_s),De_enu(m),Dn_enu(m),Du_enu(m),Depth(m),E(m),N(m),U(m),Valid,ValidFlag,IsWaterMass
328065036689,328015036689,328.065036689,328.015036689,DVL_H1000,+0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328066755751,328016755751,328.066755751,328.016755751,DVL_H1000,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328073155422,328023155422,328.073155422,328.023155422,DVL_H1000,BI,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328078515898,328028515898,328.078515898,328.028515898,DVL_H1000,BS,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328083872581,328033872581,328.083872581,328.033872581,DVL_H1000,BE,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328093734584,328043734584,328.093734584,328.043734584,DVL_H1000,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328159212066,328109212066,328.159212066,328.109212066,DVL_H1000,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328167331091,328117331091,328.167331091,328.117331091,DVL_H1000,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328173696929,328123696929,328.173696929,328.123696929,DVL_H1000,BI,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328179000238,328129000238,328.179000238,328.129000238,DVL_H1000,BS,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328184371505,328134371505,328.184371505,328.134371505,DVL_H1000,BE,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328194915416,328144915416,328.194915416,328.144915416,DVL_H1000,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328256069993,328206069993,328.256069993,328.206069993,DVL_H1000,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,,False
328257812097,328207812097,328.257812097,328.207812097,DVL_H1000,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
328259562367,328209562367,328.259562367,328.209562367,DVL_H1000,BI,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
