MonoNS,EstNS,MonoS,EstS,t_unix,AccX,AccY,AccZ,AsX,AsY,AsZ,HX,HY,HZ,AngX,AngY,AngZ,TemperatureC
351045690821,351043690821,351.045690821,351.043690821,1768044166.3225372,-0.021,0.091,0.996,-0.122,0.122,-0.671,-39.975,-38.389,-47.476,5.191,1.184,-159.196,
351059712523,351057712523,351.059712523,351.057712523,1768044166.3364122,-0.021,0.089,0.997,-0.061,0.122,-0.671,-39.923,-38.337,-47.463,5.19,1.186,-159.206,
351069544484,351067544484,351.069544484,351.067544484,1768044166.346628,-0.021,0.089,0.997,-0.061,0.122,0.0,-39.871,-38.337,-47.502,5.188,1.187,-159.213,
351083639977,351081639977,351.083639977,351.081639977,1768044166.3568783,-0.021,0.089,0.997,-0.061,0.122,-0.671,-39.871,-38.363,-47.515,5.187,1.189,-159.221,
351091353881,351089353881,351.091353881,351.089353881,1768044166.3671737,-0.021,0.089,0.997,0.0,0.122,-0.671,-39.845,-38.376,-47.528,5.186,1.191,-159.228,
351102314579,351100314579,351.102314579,351.100314579,1768044166.3773427,-0.021,0.089,0.997,0.0,0.122,-0.671,-39.845,-38.363,-47.515,5.185,1.192,-159.235,
351110152149,351108152149,351.110152149,351.108152149,1768044166.387475,-0.021,0.089,0.997,0.0,0.122,0.0,-39.845,-38.363,-47.528,5.184,1.194,-159.242,
351120376397,351118376397,351.120376397,351.118376397,1768044166.3976932,-0.021,0.089,0.997,0.0,0.122,-0.671,-39.845,-38.363,-47.541,5.184,1.195,-159.25,
351130693395,351128693395,351.130693395,351.128693395,1768044166.4079702,-0.021,0.089,0.997,0.0,0.122,-0.671,-40.014,-38.688,-47.515,5.183,1.197,-159.257,
351140904227,351138904227,351.140904227,351.138904227,1768044166.4181783,-0.021,0.089,0.997,0.0,0.122,-0.671,-39.936,-38.467,-47.372,5.183,1.198,-159.265,
351151131684,351149131684,351.151131684,351.149131684,1768044166.4283888,-0.021,0.089,0.997,0.0,0.122,-0.671,-39.897,-38.402,-47.333,5.183,1.199,-159.272,
351161490389,351159490389,351.161490389,351.159490389,1768044166.4387672,-0.021,0.089,0.997,0.061,0.061,-0.671,-39.884,-38.376,-47.372,5.183,1.201,-159.279,
351171754887,351169754887,351.171754887,351.169754887,1768044166.4489956,-0.021,0.089,0.997,0.061,0.061,-0.671,-39.871,-38.389,-47.424,5.184,1.202,-159.286,
351181935678,351179935678,351.181935678,351.179935678,1768044166.459233,-0.021,0.089,0.997,0.061,0.061,-0.671,-39.871,-38.376,-47.463,5.184,1.203,-159.293,
