MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
351045690821,351043690821,351.045690821,351.043690821,-0.021,0.091,0.996,-0.122,0.122,-0.671,,5.191,1.184,-159.196
351059712523,351057712523,351.059712523,351.057712523,-0.021,0.089,0.997,-0.061,0.122,-0.671,,5.19,1.186,-159.206
351069544484,351067544484,351.069544484,351.067544484,-0.021,0.089,0.997,-0.061,0.122,0.0,,5.188,1.187,-159.213
351083639977,351081639977,351.083639977,351.081639977,-0.021,0.089,0.997,-0.061,0.122,-0.671,,5.187,1.189,-159.221
351091353881,351089353881,351.091353881,351.089353881,-0.021,0.089,0.997,0.0,0.122,-0.671,,5.186,1.191,-159.228
351102314579,351100314579,351.102314579,351.100314579,-0.021,0.089,0.997,0.0,0.122,-0.671,,5.185,1.192,-159.235
351110152149,351108152149,351.110152149,351.108152149,-0.021,0.089,0.997,0.0,0.122,0.0,,5.184,1.194,-159.242
351120376397,351118376397,351.120376397,351.118376397,-0.021,0.089,0.997,0.0,0.122,-0.671,,5.184,1.195,-159.25
351130693395,351128693395,351.130693395,351.128693395,-0.021,0.089,0.997,0.0,0.122,-0.671,,5.183,1.197,-159.257
351140904227,351138904227,351.140904227,351.138904227,-0.021,0.089,0.997,0.0,0.122,-0.671,,5.183,1.198,-159.265
351151131684,351149131684,351.151131684,351.149131684,-0.021,0.089,0.997,0.0,0.122,-0.671,,5.183,1.199,-159.272
351161490389,351159490389,351.161490389,351.159490389,-0.021,0.089,0.997,0.061,0.061,-0.671,,5.183,1.201,-159.279
351171754887,351169754887,351.171754887,351.169754887,-0.021,0.089,0.997,0.061,0.061,-0.671,,5.184,1.202,-159.286
351181935678,351179935678,351.181935678,351.179935678,-0.021,0.089,0.997,0.061,0.061,-0.671,,5.184,1.203,-159.293
351192173051,351190173051,351.192173051,351.190173051,-0.022,0.088,0.997,0.061,0.061,-0.671,,5.185,1.204,-159.3
351202380966,351200380966,351.202380966,351.200380966,-0.022,0.088,0.997,0.122,0.061,-0.671,,5.185,1.206,-159.308
351212722464,351210722464,351.212722464,351.210722464,-0.022,0.089,0.997,0.122,0.061,-0.671,,5.186,1.207,-159.315
351222769964,351220769964,351.222769964,351.220769964,-0.022,0.088,0.997,0.122,0.061,-0.671,,5.187,1.209,-159.322
351233086378,351231086378,351.233086378,351.231086378,-0.022,0.088,0.997,0.122,0.061,-0.671,,5.187,1.21,-159.329
351243547457,351241547457,351.243547457,351.241547457,-0.022,0.088,0.997,0.183,0.061,-0.671,,5.189,1.211,-159.336
351253794747,351251794747,351.253794747,351.251794747,-0.022,0.088,0.997,0.183,0.0,-0.671,,5.19,1.212,-159.343
351266035262,351264035262,351.266035262,351.264035262,-0.022,0.088,0.997,0.183,0.0,-0.671,,5.191,1.213,-159.352
351276032305,351274032305,351.276032305,351.274032305,-0.022,0.088,0.997,0.244,0.0,-0.671,,5.193,1.214,-159.359
351286276095,351284276095,351.286276095,351.284276095,-0.022,0.088,0.997,0.244,0.0,-0.671,,5.194,1.215,-159.366
351296547885,351294547885,351.296547885,351.294547885,-0.022,0.088,0.997,0.244,0.0,-0.671,,5.196,1.215,-159.373
351306994672,351304994672,351.306994672,351.304994672,-0.022,0.088,0.997,0.244,0.0,-0.671,,5.198,1.216,-159.38
351318301574,351316301574,351.318301574,351.316301574,-0.023,0.088,0.996,0.244,0.0,-0.671,,5.2,1.216,-159.387
351327211589,351325211589,351.327211589,351.325211589,-0.023,0.088,0.996,0.244,0.0,-0.671,,5.201,1.217,-159.394
351337434671,351335434671,351.337434671,351.335434671,-0.023,0.088,0.996,0.244,0.0,-0.671,,5.203,1.218,-159.402
351347628295,351345628295,351.347628295,351.345628295,-0.023,0.088,0.996,0.244,0.0,-0.671,,5.205,1.218,-159.408
351357848752,351355848752,351.357848752,351.355848752,-0.023,0.088,0.996,0.305,-0.061,-0.671,,5.207,1.219,-159.415
351368093125,351366093125,351.368093125,351.366093125,-0.023,0.088,0.996,0.305,-0.061,-0.671,,5.209,1.219,-159.422
351378292874,351376292874,351.378292874,351.376292874,-0.023,0.088,0.996,0.305,-0.061,-0.671,,5.21,1.219,-159.429
351388357874,351386357874,351.388357874,351.386357874,-0.023,0.088,0.996,0.305,-0.061,-0.671,,5.212,1.219,-159.437
351398748663,351396748663,351.398748663,351.396748663,-0.023,0.088,0.996,0.305,-0.061,-0.671,,5.214,1.219,-159.443
351408927995,351406927995,351.408927995,351.406927995,-0.023,0.088,0.996,0.305,-0.122,-0.671,,5.216,1.218,-159.45
351419107911,351417107911,351.419107911,351.417107911,-0.023,0.088,0.996,0.305,-0.122,-0.61,,5.218,1.218,-159.457
351429224536,351427224536,351.429224536,351.427224536,-0.023,0.088,0.996,0.305,-0.122,0.0,,5.22,1.217,-159.463
351439550866,351437550866,351.439550866,351.437550866,-0.023,0.089,0.996,0.305,-0.122,-0.61,,5.222,1.217,-159.471
351449805739,351447805739,351.449805739,351.447805739,-0.023,0.089,0.996,0.305,-0.183,-0.61,,5.224,1.216,-159.477
351460223944,351458223944,351.460223944,351.458223944,-0.023,0.089,0.996,0.305,-0.183,-0.61,,5.226,1.215,-159.484
351470423693,351468423693,351.470423693,351.468423693,-0.023,0.089,0.996,0.305,-0.183,-0.61,,5.229,1.215,-159.491
351480641525,351478641525,351.480641525,351.478641525,-0.023,0.089,0.996,0.305,-0.183,-0.61,,5.231,1.214,-159.498
351490871315,351488871315,351.490871315,351.488871315,-0.023,0.089,0.996,0.244,-0.244,-0.61,,5.233,1.213,-159.505
351501062605,351499062605,351.501062605,351.499062605,-0.023,0.089,0.996,0.244,-0.244,-0.61,,5.234,1.211,-159.511
351511194105,351509194105,351.511194105,351.509194105,-0.023,0.089,0.996,0.244,-0.244,-0.61,,5.236,1.21,-159.518
351521346313,351519346313,351.521346313,351.519346313,-0.023,0.089,0.996,0.244,-0.244,-0.61,,5.238,1.209,-159.525
351531565020,351529565020,351.53156502,351.52956502,-0.023,0.089,0.996,0.244,-0.244,-0.61,,5.239,1.207,-159.531
351541775269,351539775269,351.541775269,351.539775269,-0.023,0.089,0.996,0.244,-0.244,-0.61,,5.241,1.206,-159.538
351551946726,351549946726,351.551946726,351.549946726,-0.023,0.089,0.996,0.244,-0.305,-0.61,,5.242,1.204,-159.545
351562182058,351560182058,351.562182058,351.560182058,-0.023,0.089,0.996,0.244,-0.305,0.0,,5.243,1.203,-159.551
351572596471,351570596471,351.572596471,351.570596471,-0.024,0.09,0.995,0.183,-0.305,-0.61,,5.245,1.201,-159.558
351582762387,351580762387,351.582762387,351.580762387,-0.024,0.09,0.995,0.183,-0.305,-0.61,,5.247,1.199,-159.565
351593554503,351591554503,351.593554503,351.591554503,-0.024,0.09,0.995,0.183,-0.305,-0.61,,5.248,1.197,-159.572
351603671128,351601671128,351.603671128,351.601671128,-0.024,0.09,0.995,0.183,-0.366,-0.61,,5.25,1.195,-159.578
351613220760,351611220760,351.61322076,351.61122076,-0.024,0.09,0.995,0.183,-0.366,-0.61,,5.251,1.193,-159.585
351623682422,351621682422,351.623682422,351.621682422,-0.024,0.09,0.995,0.183,-0.366,-0.61,,5.252,1.191,-159.592
351633912212,351631912212,351.633912212,351.631912212,-0.024,0.09,0.995,0.183,-0.366,-0.61,,5.253,1.189,-159.599
351644100003,351642100003,351.644100003,351.642100003,-0.024,0.09,0.995,0.122,-0.366,-0.61,,5.254,1.186,-159.605
351654332126,351652332126,351.654332126,351.652332126,-0.024,0.09,0.995,0.122,-0.366,0.0,,5.255,1.184,-159.612
